# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
      0   2.249458e+00   9.900990e-03   5.696668e+00   0.000000e+00   3.120460e-01
      1   2.252090e+00   9.920802e-03   5.690814e+00   1.823755e-11   3.120460e-01
      2   2.304770e+00   1.032149e-02   5.576147e+00   3.942122e-10   3.120460e-01
      3   2.358533e+00   1.073836e-02   5.463906e+00   7.442329e-10   3.120460e-01
      4   2.413401e+00   1.117208e-02   5.354031e+00   1.072500e-09   3.120460e-01
      5   2.469395e+00   1.162332e-02   5.246468e+00   1.381534e-09   3.120460e-01
      6   2.526536e+00   1.209278e-02   5.141163e+00   1.673611e-09   3.120460e-01
      7   2.584849e+00   1.258122e-02   5.038062e+00   1.950805e-09   3.120460e-01
      8   2.644354e+00   1.308938e-02   4.937114e+00   2.215010e-09   3.120460e-01
      9   2.705076e+00   1.361808e-02   4.838271e+00   2.467959e-09   3.120460e-01
     10   2.767039e+00   1.416814e-02   4.741482e+00   2.711243e-09   3.120460e-01
     11   2.830267e+00   1.474041e-02   4.646703e+00   2.946320e-09   3.120460e-01
     12   2.894784e+00   1.533581e-02   4.553886e+00   3.174532e-09   3.120460e-01
     13   2.960616e+00   1.595526e-02   4.462988e+00   3.397115e-09   3.120460e-01
     14   3.027789e+00   1.659974e-02   4.373965e+00   3.615212e-09   3.120460e-01
     15   3.096329e+00   1.727026e-02   4.286776e+00   3.829879e-09   3.120460e-01
     16   3.166264e+00   1.796786e-02   4.201379e+00   4.042096e-09   3.120460e-01
     17   3.237619e+00   1.869365e-02   4.117735e+00   4.252776e-09   3.120460e-01
     18   3.310425e+00   1.944875e-02   4.035805e+00   4.462771e-09   3.120460e-01
     19   3.384708e+00   2.023437e-02   3.955551e+00   4.672879e-09   3.120460e-01
# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
      0   2.249458e+00   9.900990e-03   5.696668e+00   0.000000e+00   3.120460e-01
      1   2.252090e+00   9.920802e-03   5.690814e+00   1.823755e-11   3.120460e-01
      2   2.304770e+00   1.032149e-02   5.576147e+00   3.942122e-10   3.120460e-01
      3   2.358533e+00   1.073836e-02   5.463906e+00   7.442329e-10   3.120460e-01
      4   2.413401e+00   1.117208e-02   5.354031e+00   1.072500e-09   3.120460e-01
      5   2.469395e+00   1.162332e-02   5.246468e+00   1.381534e-09   3.120460e-01
      6   2.526536e+00   1.209278e-02   5.141163e+00   1.673611e-09   3.120460e-01
      7   2.584849e+00   1.258122e-02   5.038062e+00   1.950805e-09   3.120460e-01
      8   2.644354e+00   1.308938e-02   4.937114e+00   2.215010e-09   3.120460e-01
      9   2.705076e+00   1.361808e-02   4.838271e+00   2.467959e-09   3.120460e-01
     10   2.767039e+00   1.416814e-02   4.741482e+00   2.711243e-09   3.120460e-01
     11   2.830267e+00   1.474041e-02   4.646703e+00   2.946320e-09   3.120460e-01
     12   2.894784e+00   1.533581e-02   4.553886e+00   3.174532e-09   3.120460e-01
     13   2.960616e+00   1.595526e-02   4.462988e+00   3.397115e-09   3.120460e-01
     14   3.027789e+00   1.659974e-02   4.373965e+00   3.615212e-09   3.120460e-01
     15   3.096329e+00   1.727026e-02   4.286776e+00   3.829879e-09   3.120460e-01
     16   3.166264e+00   1.796786e-02   4.201379e+00   4.042096e-09   3.120460e-01
